TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,base-devel,is a group package with sudo and compilation software
,git,is a version control system
,openbox,is the main graphical user interface and window manager
,bspwm,
,sxhkd,
,lxqt,is a modular desktop environment
,xclip,
,util-linux,
,sddm,is a display manager (login screen)
A,kvantum-qt4-git,is a Qt theming engine
,transmission-qt,is a torrent client
,neofetch,is a system information tool, used normally for showing off in r/unixporn
,cmatrix,is a useless but fun matrix-like thing for terminal
,clementine,is a graphical music player
,volumeicon,is a volume icon that hangs in the systray
,tint2,is a panel designed for openbox
,noto-fonts,is the google noto fonts
,noto-fonts-cjk,
,xorg-server,is the graphical server
,xorg-xdpyinfo,retrieves screen information for some scripts
,xorg-xwininfo,allows querying information about windows
,xorg-xinit,starts the graphical server
,xorg-xkill,
,xorg-xset,
,xorg-xprop,
,xorg-xrandr,
,curl,is used for downloading stuff from the web through a CLI
,wget,is used for downloading stuff from the web through a CLI
,code,is a graphical IDE
,papirus-icon-theme,
,rofi,is an application launcher that uses binaries/scripts instead of .desktop files
,dolphin,is a Qt/KDE file manager
,ksysguard,
,zsh,is my shell of choice
,arandr,is a UI for screen adjustment
,dosfstools,allows your computer to access dos-like filesystems
,exfat-utils,allows management of FAT drives
,feh,is a minimal image viewer
,ffmpeg,can record and splice video and audio on the command line
,firefox,is the only program on LARBS your girlfriend has ever heard of
,gnome-keyring,serves as the system keyring
,gnome-themes-extra,gives the dark GTK theme used in LARBS
,networkmanager,does exactly what it sounds like
,network-manager-applet,appears in the top right corner and manages the wi-fi connection
,ntfs-3g,allows accessing NTFS partitions
,pulseaudio,is the audio system (>inb4 bloat)
,pulseaudio-alsa,is an audio interface with ALSA
,pamixer,is a terminal audio control interface
,pulsemixer,is an intuitive ncurses audio controller
,python-pywal,generates color schemes based on your wallpaper
,scrot,can take quick screenshots at your request
,unrar,extracts rars
,unzip,unzips zips
,p7zip,
,w3m,is a terminal browser which can also view images
,wget,downloads sites and files on the command line
,xdotool,provides window action utilities on the command line.
,xssstate,times out the screen if locked
,youtube-dl,can download any YouTube video (or playlist or channel) when given the link
,source-highlight,
,syntax-highlighting,
,vlc,is an application for watching movies
,gimp,is an advanced image editor
,inkscape,is an advanced SVG editor
,qt5ct,
,conky,
,xf86-input-synaptics,
,dunst, is a minimal notification daemon
,python,
,xautolock, locks the screen after a select amount of time
,playerctl,
,gst-plugins-good, allows clementine to work (bloat)
,rsync,
,ffmpegthumbnailer,
,ffmpegthumbs,
,ark,
,cbatticon,
,acpi,
,xfce4, is a desktop environment
,xfce4-goodies, is plugins for xfce
,imagemagick,
,xorg-xgamma,
,neovim,
,maim,is an alternative to scrot
,cmus, is a terminal music player
,mpv,is a media player
,zsh-completions,
A,pnmixer,
A,i3lock-color-git, is the lock screen
A,qview,is an image viewer
A,compton-tryone-git,
A,python-instant-music-git,is used for downloading music through the terminal from youtube
A,gtk3-mushrooms,is gtk3 without CSD, and a few other improvements.
A,pulseaudio-ctl,
A,light-git,
A,bibata-cursor-theme,
A,lemonbar-xft-git,
